domain,company,category,sources,have_DMs
callmate-ai.com,,,discolike_IL,no
callnow.co.il,,,discolike_IL,no
callviro.com,,,discolike_IL,no
caltors.com,,,discolike_IL,no
calzo-app-influencer.site,,,discolike_IL,no
campaign4u.co.il,,,discolike_IL,no
camtek.com,,,supersoniq_proven,yes
candidatly.com,,,discolike_IL,no
canditech.io,Canditech,hrtech saas,scrape|supersoniq_proven,yes
candivore.io,,,supersoniq_proven,yes
cannabisantipain.com,,,discolike_IL,no
cannabisfromisrael.com,,,discolike_IL,no
canopy.works,,,discolike_IL,no
canotera.com,Canotera,LegalTech,scrape,no
cappitech.com,Cappitech,RegTech / compliance,scrape,no
captain-eye.com,,,discolike_IL,no
carbonblue.cc,,,supersoniq_proven,yes
card.org.il,,,discolike_IL,no
card2all.co.il,,,discolike_IL,no
carddigital.co.il,,,discolike_IL,no
carder.app,,,discolike_IL,no
cardgo.co.il,,,discolike_IL,no
cardify.co.il,,,discolike_IL,no
cardigo.co.il,,,discolike_IL,no
cardix.co.il,,,discolike_IL,no
cardonline.co.il,,,discolike_IL,no
cardpage.com,,,discolike_IL,no
cardtimes.co.il,,,discolike_IL,no
cardudis.com,,,discolike_IL,no
cariboulabs.co,,,discolike_IL,no
carry.im,,,discolike_IL,no
cart.is,,,discolike_IL,no
cartip.co.il,,,discolike_IL,no
cartis-bikur.online,,,discolike_IL,no
cash-up.co.il,,,discolike_IL,no
cashcontrol.co.il,,,discolike_IL,no
cashio.co.il,,,discolike_IL,no
cashless.co.il,,,discolike_IL,no
cast.ai,Cast AI,cloud infra saas,scrape,no
catalystadvisors.com,,,supersoniq_proven,yes
catalystais.com,,,discolike_IL,no
cb4.com,CB4,Retail Analytics,scrape,no
cdi.co.il,,,supersoniq_proven,yes
cecilia.ai,Cecilia.ai,Conversational AI,scrape,no
cellcom.co.il,,,supersoniq_proven,yes
cellebrite.com,Cellebrite,Digital intelligence/forensics,scrape,no
cellosign.com,,,supersoniq_proven,yes
cemento.ai,,,supersoniq_proven,yes
centerpoint.co.il,,,discolike_IL,no
centrical.com,Centrical,hrtech,scrape,no
cep.co.il,,,discolike_IL,no
cerebi.ai,,,discolike_IL,no
cexpense.com,,,discolike_IL,no
cfo-online.co.il,,,discolike_IL,no
cft.co.il,,,discolike_IL,no
chalir.com,,,supersoniq_proven,yes
chamelio.ai,Chamelio,LegalTech,scrape,no
chaoslabs.xyz,Chaos Labs,Crypto / risk SaaS,scrape,no
chargeafter.com,ChargeAfter,RetailTech,scrape,no
chat-gpt-israel.com,,,discolike_IL,no
chat-gpt-world.com,,,discolike_IL,no
chat2bizil.co.il,,,discolike_IL,no
chat4u.ai,,,discolike_IL,no
chatbotisrael.com,,,discolike_IL,no
chatgpt-il.com,,,discolike_IL,no
chati.co.il,,,discolike_IL,no
chatly.co.il,,,discolike_IL,no
chatmate.co.il,,,discolike_IL,no
chato.co.il,,,discolike_IL,no
chatoptic.com,,,discolike_IL,no
chatpilotapi.com,,,discolike_IL,no
chatrix.co.il,,,discolike_IL,no
chatty-ai.ai,,,discolike_IL,no
chatway.app,,,supersoniq_proven,yes
check-in.co.il,,,discolike_IL,no
checkcall.co.il,,,discolike_IL,no
checker-soft.com,,,discolike_IL,no
checlock.com,,,discolike_IL,no
chekmarc.com,,,supersoniq_proven,yes
chelsy.info,,,discolike_IL,no
chenkeren.com,,,discolike_IL,no
cherre.com,Cherre,real estate data saas,scrape,no
chipit.co.il,,,discolike_IL,no
chorus.ai,Chorus.ai,Conversation intelligence,scrape,no
churney.io,Churney,ai,scrape,no
cig.chat,,,discolike_IL,no
cinten.com,,,discolike_IL|supersoniq_proven,yes
cipia.com,,,supersoniq_proven,yes
claimzai.com,,,discolike_IL,no
clarada.co.il,,,discolike_IL,no
clarifruit.com,,,supersoniq_proven,yes
clarityq.ai,,,supersoniq_proven,yes
clarityroas.com,,,discolike_IL,no
clarizen.com,Clarizen,Work management SaaS,scrape,no
claroai.com,Claro,Conversational AI,scrape,no
classiq.io,Classiq,data,scrape,no
clawdia.ai,Clawdia,LegalTech,scrape,no
cleapapp.com,,,discolike_IL,no
clear-cut.shop,,,discolike_IL,no
clear.ml,ClearML,MLOps,scrape,no
clearstreet.io,Clear Street,Brokerage infrastructure,scrape,no
cleckcrm.co.il,,,discolike_IL,no
